ctoi_alias,pl_pnum,tfopwg_disp,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
50365310.01,1,0,112.357708,-12.69596,-5.964,-0.076,2459229.630046,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,9.604,485.735,10249.0,4.19,2.16986
231663901.01,1,1,318.737012,-55.871863,12.641,-16.011,2458326.009117,1.4303699,1.6165994,18960.7122944,13.1874503,1281.2408254,1525.9048089,12.4069,375.31,5600.0,4.48851,0.890774
175310067.01,1,0,116.110771,-36.098285,-9.231,11.614,2459238.831138,12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,10.6257,368.646,7601.0,4.31,1.53641
182943944.01,1,0,124.726411,-37.78325,-11.278,9.593,2458518.96536,1.10422,2.37,14177.7,21.0448,39459.3,3926.0,10.6019,406.997,6995.2,4.07,1.61
291555748.01,1,0,111.716019,-50.266567,-8.018,11.56,2458492.78078,4.95912,2.509,7440.0,22.9123,673.55,1419.0,10.6254,360.541,5889.0,3.86,2.0
149603524.01,1,1,87.139821,-63.988329,-15.641,26.046,2460187.916571,4.4119378,3.65,15062.0,15.4706,653.252,1408.0,9.7109,175.631,6280.0,4.32092,1.21
143994283.01,1,0,119.30075,-42.999149,-3.211,-15.082,2458492.90429,1.90879,1.909,618.482,3.34688,985.807,1561.0,10.5551,235.974,6022.6,4.52,1.22
47384844.01,1,0,162.96491,-5.788708,-15.787,-11.849,2458547.448,3.09574,4.475,380.0,3.4262,18087.9,3230.0,8.72924,120.666,6084.0,4.13,1.41
238374636.01,1,0,120.837688,-51.345626,-23.366,22.652,2459303.303969,1.3214483,3.435,2180.0,21.8839,35623.2,3827.0,9.697,316.398,5050.8,3.56,2.99
388624270.01,1,0,125.434634,-51.759442,47.228,-6.325,2460720.807674,14.2628757,6.9350494,913.2067174,2.4765813,153.2069421,980.3628831,9.9138,105.677,5690.0,4.58,0.853898
447283466.01,1,0,157.098337,-51.705409,30.65,-33.906,2458544.48066,1.01606,2.843,240.0,1.20704,2784.04,2023.0,7.9059,23.7748,4634.0,4.64,0.68
336732616.01,1,1,312.457488,-24.428694,10.426,15.62,2458327.25256,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,11.5232,411.211,6351.0,4.22896,1.4
